Date,Open,High,Low,Close,Adj Close,Volume
2001/1/2,964,965,962.86,965,3687.031926,3687.031926
2001/1/3,964,966.615,963,966.1736838,3178.871809,3178.871809
2001/1/4,965.0000006,966.15,961.7,966.1499978,11900.67735,11900.67735
2001/1/5,962.8800001,965.668127,962.8799995,964.1332674,2738.659872,2738.659872
2001/1/8,964.133268,965.8550118,964.133268,965.8550107,1032.527297,1032.527297
2001/1/9,965.8550118,967,965,966.75,8361.219334,8361.219334
2001/1/10,967,968,963.9434045,963.9434055,9689.232756,9689.232756
2001/1/11,963.9434044,965.544876,961.7,963.250005,10417.3335,10417.3335
2001/1/12,962,964,957.02,957.697739,16367.1409,16367.1409
2001/1/16,958.1456053,961.7,958.1456053,960.5431952,6110.655786,6110.655786
2001/1/17,960.9776141,967.4618675,960.9776141,961.8287422,26943.21994,26943.21994
2001/1/18,964.7897886,964.7897886,960.1922667,962.1016812,6536.989485,6536.989485
2001/1/19,962.5792669,964.3036098,961.0899636,963,2986.70503,2986.70503
2001/1/22,963,964.6899897,961.6377655,964.5000002,3498.311653,3498.311653
2001/1/23,964.4999977,964.4999977,962.6152865,962.6152865,1578.61302,1578.61302
2001/1/24,963.2517828,965.6152865,962.6152865,964.1335414,5698.471191,5698.471191
2001/1/25,964.1335423,965.6152865,963.6801084,964.166332,4149.116305,4149.116305
2001/1/26,965.6152865,967.9999,965.6152865,967.8,8224.521059,8224.521059
2001/1/29,967,967.85,962.7200391,964,11342.32064,11342.32064
2001/1/30,965.5847761,965.5847761,963.669103,963.7691215,565.9704143,565.9704143
2001/1/31,963.7691215,965.1600018,963.6691215,964.5918103,5639.014142,5639.014142
2001/2/1,964.6648937,965.6152886,963.2128497,963.851957,5526.565209,5526.565209
2001/2/2,965.6152886,971.81,964.6737896,971.79,47600.55189,47600.55189
2001/2/5,971.5,975.2610077,970.3414285,975.2610077,14521.79631,14521.79631
2001/2/6,975.2610077,975.2610077,970.6478336,972.7588473,4928.255285,4928.255285
2001/2/7,972.7588496,976.301,972.7588496,974.5100081,14668.11181,14668.11181
2001/2/8,974.5100125,976.301,973.1962668,973.1962668,960.3708152,960.3708152
2001/2/9,974.510033,975.2510026,972.0637351,974,2992.416913,2992.416913
2001/2/12,973.39,975.19,970.7122389,971.3323506,4178.023169,4178.023169
2001/2/13,974,975.2510026,972.6403958,975,4255.087591,4255.087591
2001/2/14,973.7340772,975.1115107,973.7340772,975,1920.498602,1920.498602
2001/2/15,975,976,972.5476319,976,9741.020162,9741.020162
2001/2/16,976,977.5,976,976.3000036,15690.27958,15690.27958
2001/2/20,977.5,980,976.5,979.1544298,44396.46026,44396.46026
2001/2/21,979.1544298,984.8,979.1544298,984.8,53363.66007,53363.66007
2001/2/22,984.8,999.9,984.2500024,995.1331757,117047.6164,117047.6164
2001/2/23,993.7324517,998.6747587,993.7324517,997.587277,14224.34797,14224.34797
2001/2/26,998.5,998.6747587,991.0000007,994.2935311,33420.68488,33420.68488
2001/2/27,993.0000016,999,993.0000016,999,24492.87532,24492.87532
2001/2/28,999,1002,996.3953819,996.5953819,75401.54457,75401.54457
2001/3/1,998.25,999,994.6943672,997.23,45668.94407,45668.94407
2001/3/2,998.0832202,1000,997.23,999.7000012,19659.41482,19659.41482
2001/3/5,997.9000187,1002,997.9000187,1001.5,43377.3595,43377.3595
2001/3/6,1001.5,1006.55,1000.365598,1005.846926,51471.65488,51471.65488
2001/3/7,1005.846926,1006.55,1001.846926,1003.500002,44982.20841,44982.20841
2001/3/8,1003.500002,1008.549993,1003.500002,1006,19730.12633,19730.12633
2001/3/9,1005.999999,1007.403606,1000.2,1004,67132.22682,67132.22682
2001/3/12,1003.804041,1007.393136,1002.554,1005.999999,29733.03576,29733.03576
2001/3/13,1005,1006,997,998.8581375,184089.6377,184089.6377
2001/3/14,998.9379705,1002.8,993.7120809,999.3646398,57912.78686,57912.78686
2001/3/15,999.9221887,1000,998.7810162,1000,7142.441761,7142.441761
2001/3/16,1000,1001.618559,998.8834897,1001,12418.19595,12418.19595
2001/3/19,1001.618555,1001.853379,997.1838981,997.1838981,26101.28941,26101.28941
2001/3/20,997.21,1002.295274,997.1148556,998.7901439,30427.48283,30427.48283
2001/3/21,1002,1002,997.184,1000.72678,9324.608068,9324.608068
2001/3/22,1000.72678,1008.721842,998.900012,1008.721842,46375.55347,46375.55347
2001/3/23,1007.85872,1015.8,1007.85872,1015.8,37167.85093,37167.85093
2001/3/26,1015.8,1017,1010,1012.999998,38173.41566,38173.41566
2001/3/27,1011.704635,1013.543361,1005.365706,1013.543361,21465.13889,21465.13889
2001/3/28,1013.335022,1018,1010,1016.4,14820.46521,14820.46521
2001/3/29,1016.752,1018,1015.75,1017.984998,9690.763095,9690.763095
2001/3/30,1016.442158,1017.984994,1013.458209,1014.788962,7036.844972,7036.844972
2001/4/2,1013.458209,1014.895,1010,1013.989997,8049.112862,8049.112862
2001/4/3,1012.168181,1014.548476,1010.663339,1013.22,30233.1592,30233.1592
2001/4/4,1011.766001,1015.788966,1011.766001,1013.61,7208.186023,7208.186023
2001/4/5,1014,1019.95,1013.805,1018.926032,29250.09282,29250.09282
2001/4/6,1019,1019.95,1013.5,1013.5,15645.1924,15645.1924
2001/4/9,1013.5,1014.896929,1011,1014.896929,33411.45414,33411.45414
2001/4/10,1014.896929,1014.896929,1011.400013,1012.817323,21050.02316,21050.02316
2001/4/11,1013.5,1020,1013.361649,1019.817268,27791.23633,27791.23633
2001/4/12,1019.817268,1022,1017.965189,1020.101325,19248.43994,19248.43994
2001/4/16,1020.101325,1024,1017.970996,1024,38735.4615,38735.4615
2001/4/17,1024,1029.733122,1023.000001,1029,34901.96792,34901.96792
2001/4/18,1029,1034.32896,1029,1033.5,38695.48704,38695.48704
2001/4/19,1033.5,1033.9991,1023.385968,1028.88,101679.2114,101679.2114
2001/4/20,1028.88,1029.9,1026.5,1028.869999,42243.27834,42243.27834
2001/4/23,1028.869999,1029.000002,1000,1008.410668,191611.6493,191611.6493
2001/4/24,1007,1020.485059,1007,1017.200007,32575.76594,32575.76594
2001/4/25,1019.005195,1022.410668,1015.763738,1020.800011,22055.64592,22055.64592
2001/4/26,1020.800012,1028.281119,1020.800012,1025.500004,29333.29125,29333.29125
2001/4/27,1025.500004,1029,1021.1,1028,32103.98469,32103.98469
2001/4/30,1028,1029.726875,1025,1028,8221.975636,8221.975636
